company,title,location,country,lane,term,mode,posted_date,posted_label,deadline,compensation,fit_score,fit_label,eligibility_label,eligibility_notes,work_auth,source_family,source_name,source_type,official,provenance,url
OLG,Compliance Student,"Toronto or Sault Ste. Marie, ON",Canada,Compliance & Governance,Fall 2026,Onsite,2026-07-09,3 days ago when verified,2026-07-15,CAD $18.50–$28.50/hour,98,Exceptional match,Check academic-term fit,"The posting accepts current students in business, analytics, technology, or a related field and allows non-co-op applicants, but it is a full-time September–December 2026 work term.",Must be eligible to work in Canada,curated,OLG via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/compliance-student-at-olg-4437308977
Harris Computer / gtechna,Legal & Administrative Intern,"Montréal, QC",Canada,Legal & Contracts,Current / flexible,Onsite,2026-06-23,Posted Jun 23,,,97,Exceptional match,Likely match,"The posting accepts students in law, business administration, or a related program. Confirm term dates and Canadian work authorization.",Must be eligible to work in Canada,curated,Harris / Teal listing,aggregator,False,manually reviewed source record,https://www.tealhq.com/job/stagiaire-legal-intern-legal-admin_7ea1a8983571856a38fc2c627f046bbe44b60
TMX Group,Systems Business Analyst Intern,"Toronto, ON",Canada,Analytics & Strategy,Fall 2026 · 12 months,Hybrid,2026-07-09,3 days ago when verified,,CAD $25–$28/hour,96,Exceptional match,Check 12-month availability,"The role targets students in business technology, finance, computer science, or a related field and requires authorization to work in Canada without employer work-permit sponsorship.",Canadian work authorization required; no sponsorship,curated,TMX Group via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/systems-business-analyst-intern-at-tmx-group-4438657089
CSA Group,Co-op Student — Standards,"Toronto, ON",Canada,Compliance & Governance,Fall 2026 · 12 months,Hybrid,2026-07-05,1 week ago when verified,,CAD $24.60–$31.48/hour,95,Exceptional match,Current class-year conflict,"The posting requires completion of second year or higher in an undergraduate program, a 12-month commitment beginning September 2026, and return to school afterward. Katherine began the combined program in September 2025, so the second-year-completed requirement appears unmet as of July 2026.",Must be eligible to work in Canada,curated,CSA Group via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/co-op-student-standards-1-year-contract-starting-september-2026-at-canadian-standards-association-4417346753
Bombardier,"Intern, Contract Administration","Dorval, QC",Canada,Legal & Contracts,Fall 2026,Hybrid,2026-07-04,Posted Jul 4,,,95,Exceptional match,Likely match,"Student-only role for candidates in business, finance, law, or a related field. Confirm your course schedule and work authorization.",Must be eligible to work in Canada,curated,Bombardier via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/1Ous6Brfjzx3biPCXPGBtcIv7MeNeLohI-sIyBLKnEKYSzhVmbnlK4m_ByLWhnp8
Department of Justice Canada,Legal Excellence Program — Law Student and Articling Recruitment,Multiple offices across Canada,Canada,Legal & Contracts,Future office-specific cycles,Not stated,2026-07-13,Live feed · verified Jul 13,,,94,Strong future match,Future upper-year law-student recruiting cycle,Justice Canada offices recruit on different schedules and many summer or articling streams target students who have reached a specified stage of law school. Monitor office pages as your JD progression aligns.,Office-specific Canadian legal-recruiting requirements,government_canada,Department of Justice Canada,official_program,True,official Canadian federal or parliamentary student-program page,https://www.justice.gc.ca/eng/abt-apd/recru/lep-pea/index.html
Aecon Group Inc.,"Business Analyst, Co-op","Etobicoke, ON",Canada,Compliance & Governance,Fall 2026 · 12–16 months,Onsite,2026-07-11,1 day ago when verified,,CAD $20–$25/hour,94,Strong match,Check co-op and term length,"The role is structured as a 12–16 month co-op placement. Confirm University of Ottawa registration, start date, and whether the long full-time term fits the combined program.",Must be eligible to work in Canada,curated,Aecon via LinkedIn,aggregator,False,manually reviewed source record,https://ca.linkedin.com/jobs/view/business-analyst-co-op-at-aecon-group-inc-4422067083
Library of Parliament,Parliamentary Guide Program — Fall-Winter 2026–2027,"Ottawa, ON",Canada,Policy & Government,Fall 2026,Not stated,2026-07-13,Live feed · verified Jul 13,2026-07-23,,93,Strong match,Check citizenship and schedule requirements,"The official program requires Canadian citizenship or permanent residence, study at a Canadian university, and bilingual English/French ability. Confirm fall-winter availability and all application documents before the July 23, 2026 deadline.",Canadian citizen or permanent resident required,government_canada,Library of Parliament,official_program,True,official Canadian federal or parliamentary student-program page,https://lop.parl.ca/sites/jobs/default/en_CA/guides
TCI / Entercan,Legal Intern,"North York, ON",Canada,Legal & Contracts,Current,Onsite,2026-07-09,Posted Jul 9,,$19/hour,93,Strong match,Likely match,"The posting welcomes finance, accounting, and legal studies backgrounds and notes international students may apply. Verify hours, supervision, and work-permit conditions.",Confirm Canadian work authorization,curated,TCI via Workopolis,aggregator,False,manually reviewed source record,https://www.workopolis.com/jobsearch/viewjob/uh6APB1E4a0_B1_7JeqF_m9ZzXAL-sOz_JOy4QMn2sLCl4Rxs1iWk6HcCYps8d3Y
Senate of Canada,Senate of Canada Student Employment Program,"Ottawa, ON",Canada,Policy & Government,Year-round / ongoing,Not stated,2026-07-13,Live feed · verified Jul 13,,,92,Strong match,Check student-inventory requirements,"Confirm current enrolment, return-to-studies expectations, Canadian work authorization, term availability and any team-specific security or language requirements.",Canadian work authorization and Senate requirements apply,government_canada,Senate of Canada,official_program,True,official Canadian federal or parliamentary student-program page,https://sencanada.ca/en/about/careers/student-employment/
